0,ISIN code,Instrument,Sector,Compartment,Instruments constituting the share capital
2,MA0000012296,AFMA,Insurance,Principal B,1 000 000
3,MA0000012114,AFRIC INDUSTRIES SA,Construction & Building Materials,Principal B,291 500
4,MA0000010951,AFRIQUIA GAZ,Oil & Gas,Principal A,3 437 500
5,MA0000010944,AGMA,Insurance,Alternative A,200 000
6,MA0000011819,ALLIANCES,Real estate participation and promotion,Principal B,22 078 588
7,MA0000010936,ALUMINIUM DU MAROC,Construction & Building Materials,Principal B,465 954
8,MA0000012460,ARADEI CAPITAL,Real estate investment companies,Principal F,10 645 783
9,MA0000011710,ATLANTASANAD,Insurance,Principal A,60 283 595
10,MA0000012445,ATTIJARIWAFA BANK,Banks,Principal A,215 140 839
11,MA0000010969,AUTO HALL,Distributors,Principal A,50 294 528
12,MA0000011009,AUTO NEJMA,Distributors,Principal B,1 023 264
13,MA0000011991,BALIMA,Real estate investment companies,Principal B,1 744 000
14,MA0000012437,BANK OF AFRICA,Banks,Principal A,205 606 648
15,MA0000011884,BCP,Banks,Principal A,203 312 473
16,MA0000010811,BMCI,Banks,Principal A,13 279 286
17,MA0000011868,CARTIER SAADA,Food producers & Processors,Principal B,5 265 000
18,MA0000010381,CDM,Banks,Principal A,10 881 214
19,MA0000012049,CENTRALE DANONE,Food producers & Processors,Principal B,9 420 000
20,MA0000011454,CIH,Banks,Principal A,28 324 735
21,MA0000010506,CIMENTS DU MAROC,Construction & Building Materials,Principal A,14 436 004
22,MA0000011934,COLORADO,Construction & Building Materials,Principal B,12 088 208
23,MA0000012247,COSUMAR,Food producers & Processors,Principal A,94 487 143
24,MA0000010340,CTM,Transport,Principal B,1 225 978
25,MA0000011421,DARI COUSPATE,Food producers & Processors,Principal B,298 375
26,MA0000011777,DELATTRE LEVIVIER MAROC,Engineering & Equipment Industrial Goods,Principal B,1 250 000
27,MA0000011850,DELTA HOLDING,Holding Companies,Principal B,87 600 000
28,MA0000010639,DIAC SALAF,Investment Companies & Other Finance,Principal B,1 053 404
29,MA0000011637,DISWAY,"Materials,Software & Computer Services",Principal B,1 885 762
30,MA0000011512,DOUJA PROM ADDOHA,Real estate participation and promotion,Principal B,402 551 254
31,MA0000011942,ENNAKL,Distributors,Principal B,30 000 000
32,MA0000010357,EQDOM,Investment Companies & Other Finance,Principal B,1 670 250
33,MA0000011587,FENIE BROSSETTE,Distributors,Principal B,1 438 984
34,MA0000011611,HPS,"Materials,Software & Computer Services",Principal B,703 599
35,MA0000011132,IB MAROC.COM,"Materials,Software & Computer Services",Principal B,417 486
36,MA0000012387,IMMORENTE INVEST,Real estate investment companies,Principal B,9 007 000
37,MA0000011579,INVOLYS,"Materials,Software & Computer Services",Alternative A,382 716
38,MA0000011488,ITISSALAT AL-MAGHRIB,Telecommunications,Principal A,879 095 340
