date,Addoha,AFMA,Afric Indus,Afriquia Gaz,Agma,Alliances,Aluminium Maroc,ATLANTASANAD,Attijariwafa,Auto Hall,Auto Nejma,BALIMA,BCP,BMCI,Cartier Saada,CDM,Central.Danone,CIH,Ciments Maroc,CMT,Colorado,COSUMAR,CTM,Dari Couspate,Delattre Lev,Delta Holding,DISWAY,Ennakl,EQDOM,FENIE BROSSETTE,HPS,IBMaroc,INVOLYS,Jet Contractors,LABEL VIE,LafargeHolcim,Lesieur Cristal,Lydec,M2M Group,Maghreb Oxygene,Maghrebail,Managem,Maroc Leasing,Maroc Telecom,Med Paper,Microdata,Nexans Maroc,Oulmes,PROMOPHARM,Rebab Company,Res.Dar Saada,Risma,S2M,Saham Assurance,SALAFIN,SMI,Stokvis Nord Afr,SNEP,SODEP,Sonasid,SRM,Ste Boissons,STROC Indus,TAQA Morocco,Timar,Total Maroc,Unimer,Wafa Assur,Zellidja,MASI
2017-01-16,54.87,822.5,315.35,2690.0,2460.0,128.0,1150.0,49.0,440.0,115.15,1992.0,100.0,326.0,640.0,20.51,530.0,886.2,320.0,1460.0,1455.0,56.2,385.0,663.0,2450.0,183.7,31.0,359.0,60.3,1000.0,120.95,830.0,99.5,105.9,160.0,1362.0,2580.0,164.0,590.0,329.65,118.7,925.0,1015.0,390.0,152.2,30.87,158.0,168.4,1500.0,1320.0,130.0,226.15,117.0,214.0,1191.0,840.0,2800.0,23.35,300.0,134.05,397.0,284.0,2350.0,56.99,804.0,276.0,1450.0,180.0,4850.0,122.0,12576.9549
2017-01-23,52.7,830.0,295.0,2690.0,2460.0,129.5,1218.0,49.05,428.0,115.9,1992.0,100.0,310.15,610.0,21.0,520.0,1118.0,330.0,1490.0,1568.0,57.0,396.95,631.0,2300.0,198.95,30.15,360.0,60.5,999.0,117.35,828.0,107.8,101.0,165.5,1370.0,2586.0,147.1,552.6,325.0,112.0,925.0,1030.0,390.0,154.1,35.0,156.95,168.4,1500.0,1330.0,130.0,212.0,115.0,210.1,1200.0,846.9,2830.0,24.5,241.1,138.0,398.0,280.0,2350.0,53.3,805.0,260.0,1500.0,180.0,4800.0,137.05,12500.05
2017-01-30,49.0,840.0,300.0,2650.0,2465.0,121.0,1299.0,48.11,427.0,116.0,2100.0,100.0,308.65,620.0,22.95,548.0,1118.0,319.0,1450.0,1500.0,56.0,399.5,660.0,2300.0,183.1,30.5,368.0,59.0,1000.0,123.0,826.0,101.9,105.85,167.95,1400.0,2543.0,153.0,578.8,326.0,108.0,925.0,1145.0,390.0,152.35,33.5,151.05,160.0,1500.0,1330.0,130.0,199.95,111.0,215.8,1201.0,850.0,2721.0,22.5,262.5,137.0,395.0,277.0,2300.0,54.3,799.2,258.55,1500.0,180.0,4940.0,140.0,12385.2062
2017-02-06,48.0,866.0,301.0,2600.0,2490.0,120.0,1300.0,49.18,428.95,114.9,2180.0,100.0,303.8,603.0,24.9,520.0,1118.0,312.0,1410.0,1525.0,56.15,385.0,679.9,2300.0,175.0,30.0,352.05,59.0,1050.0,124.0,826.0,96.2,105.25,151.0,1400.0,2580.0,143.0,554.0,337.8,108.0,925.0,1175.0,365.7,147.8,31.15,151.0,167.5,1500.0,1330.0,130.0,197.95,111.0,215.0,1200.0,848.0,2760.0,22.99,254.0,136.55,393.0,283.7,2300.0,50.0,805.0,214.8,1500.0,180.0,4800.0,140.0,12247.6579
2017-02-13,51.65,840.0,300.0,2755.0,2342.0,163.5,1230.0,48.45,440.0,115.0,2275.0,100.0,305.0,602.0,24.9,502.0,1000.0,318.0,1400.0,1516.0,58.4,382.4,667.0,2302.0,175.0,30.0,360.0,61.8,1050.0,170.0,825.9,101.9,109.9,150.0,1370.0,2550.0,150.0,560.0,329.0,108.0,925.0,1274.0,370.0,148.35,30.8,150.35,159.5,1420.0,1320.0,130.0,200.0,107.15,229.95,1200.0,825.5,2777.0,22.0,375.0,134.1,361.0,330.0,2350.0,50.24,802.0,255.45,1550.0,180.0,4950.0,141.0,12367.7648
2017-02-20,49.98,900.0,296.0,2700.0,2475.0,188.95,1230.0,52.9,425.0,115.0,2275.0,100.0,300.25,600.0,24.0,472.85,1000.0,315.5,1385.0,1540.0,58.48,378.0,645.0,2439.0,185.25,31.1,356.0,63.0,1030.0,170.0,825.9,109.0,127.0,150.0,1397.0,2570.0,145.0,559.9,337.0,108.0,925.0,1160.0,370.0,145.9,35.0,156.95,160.1,1420.0,1321.0,125.0,188.4,113.95,221.0,1161.0,847.0,2800.0,22.5,390.0,134.0,366.0,364.0,2350.0,50.05,797.0,203.0,1480.0,170.0,4819.0,143.15,12192.6934
2017-02-27,48.5,899.9,310.0,2650.0,2489.0,166.15,1230.0,50.8,412.0,106.0,2275.0,100.0,280.0,600.0,23.48,498.15,1050.0,306.0,1300.0,1501.0,56.0,355.0,637.0,2430.0,183.0,30.3,356.0,59.2,1090.0,149.5,750.0,97.6,120.0,147.0,1350.0,2520.0,143.0,560.0,348.0,120.0,925.0,1140.0,390.0,142.0,33.75,165.0,160.65,1420.0,1326.0,130.0,187.0,123.0,217.0,1162.0,850.0,2760.0,23.35,390.0,127.0,355.2,359.0,2350.0,49.9,780.0,200.0,1430.0,170.0,4745.0,131.7,11822.1983
2017-03-06,48.96,887.0,309.8,2630.0,2400.0,166.35,1300.0,52.5,428.0,109.0,2274.0,100.0,279.0,600.0,23.15,500.0,1050.0,312.0,1301.0,1543.0,58.0,362.0,658.5,2750.0,190.95,29.7,380.0,59.75,1030.0,159.4,800.0,104.0,124.5,150.0,1340.0,2575.0,142.65,550.0,344.9,120.0,925.0,1200.0,366.7,143.2,32.48,165.9,160.7,1505.0,1305.0,130.0,192.5,117.05,225.0,1170.0,880.0,2895.0,20.98,365.0,122.5,356.85,352.0,2350.0,50.5,780.0,211.5,1470.0,178.0,4739.0,138.0,11978.0973
2017-03-13,48.98,900.0,300.0,2650.0,2480.0,152.5,1300.0,50.36,425.5,109.9,2274.0,100.0,271.0,601.0,23.97,497.0,1050.0,317.0,1350.0,1600.0,57.8,360.0,676.0,2750.0,188.0,29.7,394.0,60.9,1050.0,156.5,900.8,110.0,133.5,149.5,1340.0,2530.0,141.1,560.0,354.75,126.0,925.0,1300.0,366.7,143.1,30.78,218.8,160.7,1505.0,1383.0,130.0,194.0,117.0,239.0,1196.0,851.0,2988.0,21.0,357.0,125.25,415.0,350.0,2350.0,51.49,780.3,211.5,1449.0,178.0,4700.0,135.0,11937.7801
2017-03-20,47.0,883.5,300.0,2790.0,2489.0,160.0,1300.0,51.1,425.0,108.1,2270.0,100.0,277.0,601.0,23.6,483.0,987.1,314.0,1380.0,1620.0,58.0,370.0,680.0,2914.0,197.0,28.8,386.95,60.7,1050.0,154.95,870.0,109.95,133.1,146.0,1340.0,2500.0,146.5,574.7,335.3,121.0,925.0,1300.0,370.0,140.4,30.5,206.9,159.9,1529.0,1305.0,130.0,187.05,115.0,222.0,1239.0,850.0,3160.0,20.0,360.0,130.5,416.0,357.0,2300.0,47.5,776.0,211.9,1500.0,178.0,4720.0,129.75,11941.9693
2017-03-27,44.7,900.0,328.5,2700.0,2549.0,156.1,1250.0,52.0,411.0,110.0,2270.0,100.0,269.0,644.0,23.55,480.0,920.0,316.9,1350.0,1300.0,57.5,369.0,725.0,2914.0,192.4,28.7,380.0,59.89,1045.0,138.0,870.0,110.0,117.95,148.5,1340.0,2200.0,139.0,561.0,330.0,121.0,925.0,1204.0,370.0,137.5,29.11,204.5,158.05,1600.0,1344.0,130.0,180.0,113.95,225.0,1200.0,877.0,3160.0,20.7,353.0,127.8,397.95,357.0,2263.0,49.5,775.0,219.95,1427.0,179.0,4697.0,135.0,11517.386
2017-04-03,43.2,900.0,318.0,2700.0,2549.0,153.4,1250.0,51.0,400.15,108.0,2270.0,100.0,263.5,639.0,23.4,480.0,920.0,316.0,1350.0,1260.0,56.2,360.0,712.0,2920.0,185.0,27.01,378.9,58.9,1045.0,124.5,869.9,99.01,122.5,146.95,1300.0,2147.0,140.1,561.0,317.0,125.9,925.0,1150.0,370.0,136.9,28.0,195.2,149.0,1505.0,1401.0,122.25,179.0,108.2,223.0,1200.0,879.9,2851.0,20.0,307.0,133.0,389.0,294.35,2300.0,48.99,770.1,218.9,1234.0,179.0,4498.0,135.0,11316.4493
2017-04-10,44.51,995.0,309.95,2861.0,2600.0,155.0,1202.0,52.43,400.0,108.0,2270.0,100.0,260.9,640.0,23.96,480.0,920.0,309.5,1320.0,1275.0,60.0,364.45,750.0,2920.0,193.8,28.71,350.0,58.6,1045.0,124.0,870.0,97.5,122.75,142.1,1340.0,2130.0,142.5,570.0,310.0,125.9,925.0,1122.0,370.0,135.0,27.69,198.7,141.0,1595.0,1450.0,122.25,172.0,108.45,220.0,1250.0,870.0,2869.0,20.45,325.0,130.9,390.0,279.0,2300.0,48.0,794.9,201.0,1300.0,179.0,4578.0,122.0,11307.4092
2017-04-17,45.2,980.0,309.95,2648.0,2600.0,154.6,1250.0,51.0,400.0,112.5,2270.0,100.0,257.1,638.0,23.0,480.0,920.0,310.4,1320.0,1240.0,59.98,367.0,731.0,2920.0,180.0,28.49,361.95,58.0,1051.0,124.0,880.0,95.01,121.0,145.95,1220.0,2110.0,136.0,564.9,292.0,125.9,920.0,1250.0,392.0,136.5,26.88,194.8,149.25,1595.0,1392.0,122.25,170.55,107.0,230.45,1200.0,878.0,2755.0,20.25,329.0,132.0,396.0,279.0,2350.0,46.98,777.0,217.85,1300.0,174.0,4215.0,122.0,11259.4345
2017-04-24,45.0,980.0,309.95,2640.0,2600.0,155.0,1250.0,51.0,398.0,113.5,2270.0,100.0,257.1,640.0,22.99,452.0,920.0,315.0,1374.0,1329.0,59.98,374.2,725.5,2999.0,195.0,28.5,364.0,58.0,1106.0,131.85,913.0,91.4,117.5,145.0,1340.0,2120.0,140.1,562.6,292.0,125.9,920.0,1232.0,390.0,137.75,25.99,198.0,142.0,1697.0,1421.0,122.25,173.15,108.5,232.0,1245.0,878.0,2801.0,20.1,341.0,133.0,390.0,257.5,2350.0,47.66,777.7,217.85,1388.0,174.0,4585.0,106.5,11379.3626
2017-05-02,47.5,970.0,308.0,2700.0,2602.0,167.2,1287.0,51.0,419.3,113.9,2270.0,100.0,285.0,650.0,22.97,450.0,920.0,316.5,1447.0,1350.0,61.0,390.0,745.0,2820.0,195.0,28.99,368.0,58.3,1104.0,146.8,1054.0,95.0,124.95,144.0,1285.0,2305.0,143.6,562.5,314.95,125.9,920.0,1250.0,392.0,139.0,31.3,204.5,149.0,1798.0,1575.0,122.25,184.0,112.0,245.0,1220.0,874.0,2918.0,22.38,400.0,137.0,400.0,282.0,2300.0,47.55,806.0,204.8,1343.0,174.0,4666.0,112.9,11825.6642
2017-05-08,48.45,970.0,308.0,2750.0,2601.0,165.0,1299.0,53.2,419.0,111.25,2270.0,100.0,277.0,655.0,23.0,450.0,864.9,328.0,1399.0,1380.0,63.1,391.9,765.0,2820.0,193.0,29.4,365.0,58.45,1100.0,143.85,1049.0,94.4,126.65,146.0,1325.0,2218.0,145.0,562.0,305.0,120.0,975.1,1317.0,392.0,140.0,30.19,208.0,145.0,1798.0,1550.0,125.0,185.3,114.8,259.0,1210.0,877.5,2762.0,22.0,393.3,137.1,402.9,292.0,2350.0,47.65,801.0,217.85,1385.0,173.8,4450.0,119.65,11764.3731
2017-05-15,47.9,950.0,300.0,2750.0,2625.0,167.2,1350.0,54.0,421.0,114.25,2310.0,100.0,271.75,586.0,23.92,450.0,864.0,322.0,1400.0,1380.0,63.2,388.0,746.1,2820.0,193.0,29.12,373.9,59.49,1070.0,140.0,1075.0,94.0,129.9,145.85,1402.0,2188.0,148.5,600.0,312.5,119.0,975.1,1342.0,370.0,139.9,31.7,200.15,144.0,1798.0,1394.0,125.0,184.0,115.9,248.0,1250.0,877.5,2825.0,21.79,389.9,139.8,395.0,300.0,2350.0,47.5,810.0,229.0,1475.0,173.8,4599.0,149.0,11757.0048
2017-05-22,47.0,960.0,300.0,2650.0,2742.0,165.0,1350.0,53.0,419.0,112.0,2310.0,100.0,273.05,592.0,22.99,465.0,820.0,324.3,1400.0,1390.0,63.68,380.6,745.0,2820.0,191.0,29.0,385.0,59.4,1095.0,138.85,1090.0,94.49,128.25,140.0,1460.0,2076.0,146.95,649.0,300.0,115.5,975.1,1357.0,370.0,138.2,30.3,201.0,142.0,1707.0,1271.0,125.0,181.9,112.15,253.0,1287.0,854.0,2913.0,21.79,380.0,141.35,386.0,300.0,2350.0,47.0,805.1,216.1,1472.0,163.6,4620.0,149.0,11645.8538
2017-05-29,47.1,940.0,286.5,2825.0,2752.0,163.0,1300.0,51.0,424.0,111.5,2310.0,100.0,272.3,594.0,22.65,462.0,820.0,312.0,1404.0,1370.0,61.47,389.0,750.0,2820.0,179.0,29.2,380.0,58.6,1050.0,136.9,1060.0,94.0,130.0,140.0,1400.0,2075.0,145.0,588.0,302.9,115.0,975.1,1331.0,392.0,131.5,30.2,213.5,150.0,1650.0,1277.0,132.45,166.5,112.5,250.0,1230.0,888.0,3000.0,21.2,359.0,143.0,382.0,300.0,2350.0,46.85,807.8,216.6,1470.0,172.95,4583.0,149.0,11534.4564
2017-06-05,47.5,960.0,300.0,2825.0,2799.0,163.0,1300.0,51.0,432.0,113.7,2310.0,100.0,272.15,620.0,22.99,460.0,800.0,317.05,1430.0,1380.0,61.5,387.5,752.0,2985.0,180.0,29.5,381.0,58.6,1061.0,136.9,1060.0,92.9,127.9,143.0,1400.0,2082.0,145.0,600.0,300.0,115.0,975.1,1370.0,392.0,133.0,31.0,212.0,145.0,1650.0,1301.0,132.45,169.0,112.0,252.0,1251.0,888.5,3000.0,21.0,371.8,139.5,385.0,300.0,2260.0,41.13,826.0,204.05,1455.0,172.95,4566.0,149.0,11625.0793
2017-06-12,47.57,993.0,300.0,2790.0,2799.0,163.2,1300.0,51.0,430.4,112.6,2310.0,100.0,287.0,615.0,23.82,470.0,800.0,319.0,1455.0,1380.0,61.8,389.0,785.0,2900.0,180.2,32.0,387.85,58.55,975.0,134.0,1058.0,92.5,126.6,143.0,1420.0,1990.0,146.0,619.4,292.05,115.0,975.1,1350.0,392.0,135.2,29.34,212.0,144.9,1651.0,1301.0,135.0,175.2,111.55,258.0,1300.0,866.0,3099.0,21.6,369.0,138.55,377.15,329.95,2350.0,42.35,845.0,229.0,1500.0,163.55,4599.0,149.0,11684.9575
2017-06-19,47.85,1024.0,305.0,2790.0,2590.0,169.0,1377.0,51.88,447.0,111.0,2310.0,100.0,290.0,615.0,22.8,470.0,800.0,319.0,1470.0,1344.0,64.99,407.5,800.0,2900.0,185.0,30.42,387.95,59.38,1012.0,134.0,1075.0,93.0,123.85,140.0,1420.0,2010.0,146.25,615.0,292.05,112.0,919.1,1343.0,392.0,137.9,29.76,212.0,145.0,1651.0,1301.0,135.0,180.0,111.0,250.0,1300.0,840.0,3000.0,21.55,374.95,138.0,378.2,318.4,2275.0,43.5,819.5,230.0,1460.0,172.0,4597.0,149.0,11845.6968
2017-06-28,48.0,1009.0,286.75,2665.0,2590.0,172.0,1400.0,50.5,450.0,110.2,2238.0,100.0,299.8,645.0,23.55,492.5,800.0,315.0,1460.0,1360.0,62.0,420.05,835.0,2820.0,188.0,31.02,385.9,60.0,980.0,135.95,1190.0,92.0,123.5,142.0,1400.0,2074.0,148.3,600.0,305.0,118.7,969.9,1327.0,395.0,141.5,30.35,215.95,145.0,1651.0,1300.0,135.0,178.95,116.0,257.0,1302.0,840.0,3149.0,21.01,387.0,144.0,388.0,302.0,2262.0,45.0,838.0,234.95,1507.0,166.0,4600.0,149.0,12041.8486
