date,Addoha,AFMA,Afric Indus,Afriquia Gaz,Agma,Alliances,Aluminium Maroc,Aradei Capital,ATLANTASANAD,Attijariwafa,Auto Hall,Auto Nejma,BALIMA,BCP,BMCI,Cartier Saada,CDM,Central.Danone,CIH,Ciments Maroc,CMT,Colorado,COSUMAR,CTM,Dari Couspate,Delattre Lev,Delta Holding,Diac Salaf,DISWAY,Ennakl,EQDOM,FENIE BROSSETTE,HPS,IBMaroc,Immr Invest,INVOLYS,Jet Contractors,LABEL VIE,LafargeHolcim,Lesieur Cristal,Lydec,M2M Group,Maghreb Oxygene,Maghrebail,Managem,Maroc Leasing,Maroc Telecom,Med Paper,Microdata,Mutandis,Nexans Maroc,Oulmes,PROMOPHARM,Rebab Company,Res.Dar Saada,Risma,S2M,Saham Assurance,SALAFIN,SAMIR,SMI,Stokvis Nord Afr,SNEP,SODEP,Sonasid,SRM,Ste Boissons,STROC Indus,TAQA Morocco,Timar,Total Maroc,Unimer,Wafa Assur,Zellidja,MASI
16/01/2017,54.87,822.5,315.35,,,128.0,1150.0,,49.0,440.0,115.15,,,326.0,,20.51,530.0,886.2,320.0,,1455.0,56.2,385.0,663.0,,,31.0,,359.0,60.3,1000.0,120.95,,99.5,,105.9,160.0,1362.0,2580.0,164.0,,329.65,,,1015.0,,152.2,30.87,158.0,,,,1320.0,,226.15,117.0,214.0,1191.0,840.0,,,23.35,300.0,134.05,397.0,284.0,2350.0,56.99,804.0,276.0,1450.0,,4850.0,122.0,12576.9549
17/01/2017,51.5,822.5,315.35,,,128.55,1150.0,,49.4,418.5,115.0,,,314.0,640.0,20.9,530.0,939.3,311.0,,1455.0,55.5,394.5,663.0,,183.7,30.0,,353.05,60.2,990.0,133.0,830.0,109.4,,109.05,174.8,1362.0,2500.0,155.0,590.0,321.0,,,1005.0,,152.65,33.95,151.05,,168.4,,1320.0,,215.0,114.1,211.0,1195.0,840.0,,,23.51,313.85,133.05,399.0,284.0,2300.0,59.0,790.0,292.55,1402.0,,4851.0,122.0,12343.0822
18/01/2017,52.0,823.0,320.0,,,130.0,1150.0,,47.86,430.0,115.0,,,309.0,620.0,20.6,530.0,995.6,318.75,,1451.0,57.97,385.5,663.0,,183.75,30.0,,353.05,60.2,990.0,130.5,827.0,110.0,,108.0,161.15,1362.0,2510.0,155.0,589.9,321.0,118.7,,1010.0,,153.4,37.34,158.75,,168.4,,1320.0,,212.6,114.0,210.0,1160.0,850.0,,2800.0,23.2,293.0,133.35,400.0,284.0,2300.0,60.5,790.0,292.5,1411.0,,4800.0,122.0,12379.0624
19/01/2017,52.0,805.1,300.0,,,131.45,1180.0,,49.9,433.0,115.0,,,311.15,620.0,20.54,530.0,1055.0,335.0,1460.0,1500.0,57.0,390.0,655.0,2450.0,183.75,30.1,,360.0,60.0,990.0,117.5,828.0,105.0,,104.8,167.0,1362.0,2500.0,155.0,580.0,321.0,112.0,925.0,1010.0,,153.5,41.07,153.0,,168.4,,1320.0,,208.85,114.5,215.8,1160.0,850.0,,2830.0,23.28,263.75,136.25,399.8,283.85,2350.0,54.46,795.0,275.0,1478.0,,4840.0,122.0,12425.0963
20/01/2017,53.0,830.0,295.0,,2460.0,131.0,1150.0,,49.0,435.0,115.9,,,312.0,610.5,20.54,520.0,1118.0,330.0,1490.0,1515.0,55.6,393.0,631.0,2400.0,183.75,29.98,,360.0,60.8,1000.0,117.0,828.0,105.0,,103.0,165.0,1362.0,2590.0,147.5,552.0,321.0,112.0,925.0,1029.0,,156.85,36.97,156.95,,168.4,,1301.0,,212.0,114.9,210.4,1200.0,821.6,,2830.0,24.02,237.4,138.0,399.75,283.85,2350.0,56.39,810.0,259.05,1499.0,,4800.0,129.3,12592.5336
23/01/2017,52.7,830.0,295.0,,2460.0,129.5,1218.0,,49.05,428.0,115.9,,,310.15,610.0,21.0,520.0,1118.0,330.0,1490.0,1568.0,57.0,396.95,631.0,2300.0,198.95,30.15,,360.0,60.5,999.0,117.35,828.0,107.8,,101.0,165.5,1370.0,2586.0,147.1,552.6,325.0,112.0,925.0,1030.0,,154.1,35.0,156.95,,168.4,,1330.0,,212.0,115.0,210.1,1200.0,846.9,,2830.0,24.5,241.1,138.0,398.0,280.0,2350.0,53.3,805.0,260.0,1500.0,,4800.0,137.05,12500.05
24/01/2017,51.1,840.0,295.0,2690.0,2460.0,128.0,1218.0,,49.44,429.1,116.0,,,309.4,610.0,20.7,520.0,1118.0,324.85,1520.0,1500.0,55.7,391.0,634.0,2300.0,198.95,29.57,,350.05,61.0,1000.0,121.9,828.0,107.8,,106.8,165.2,1400.0,2588.0,147.5,553.0,326.5,110.0,925.0,1045.0,,155.0,35.2,156.95,,168.4,,1300.0,,209.0,114.5,210.1,1200.0,821.5,,2830.0,23.0,265.2,138.0,397.0,279.0,2350.0,54.04,804.8,260.0,1525.0,,4800.0,137.05,12484.2272
25/01/2017,51.0,840.0,295.0,2690.0,2499.0,124.9,1291.0,,48.99,435.0,116.0,,,313.0,610.0,21.2,548.0,1118.0,320.0,1450.0,1529.0,56.0,398.0,634.0,2300.0,198.95,30.5,,352.05,61.5,1000.0,131.75,826.0,99.0,,106.8,170.0,1366.0,2600.0,147.1,552.5,330.0,108.0,925.0,1036.0,,154.8,36.94,155.0,,160.0,,1320.0,,208.05,112.0,210.1,1200.0,822.0,,2700.0,23.0,280.0,138.0,394.9,277.0,2350.0,57.1,804.8,260.0,1569.0,,4800.0,137.05,12521.4071
26/01/2017,50.5,840.0,295.0,2690.0,2465.0,119.15,1291.0,,48.0,428.1,114.0,,,309.9,610.0,21.5,548.0,1118.0,329.0,1450.0,1520.0,57.0,398.5,660.0,2300.0,198.95,29.8,,352.0,60.8,1000.0,134.0,826.0,101.9,,105.85,170.0,1400.0,2580.0,151.1,552.5,333.0,108.2,925.0,1040.0,,153.0,34.51,158.5,,160.0,,1321.0,,200.0,114.45,213.95,1200.0,823.0,,2700.0,23.0,282.0,137.95,393.0,277.0,2300.0,54.03,805.0,275.0,1530.0,,4900.0,137.05,12430.7352
27/01/2017,50.56,840.0,295.0,2650.0,2465.0,124.0,1299.0,,48.6,429.4,116.0,1992.0,,310.0,620.0,21.12,548.0,1118.0,328.2,1490.0,1500.0,56.95,398.9,660.0,2300.0,190.0,30.86,,367.8,60.8,1000.0,134.0,826.0,101.9,,105.85,161.1,1403.0,2600.0,153.0,578.8,330.0,108.2,925.0,1088.0,,154.0,35.0,158.5,,160.0,1500.0,1330.0,,200.0,114.5,213.95,1190.0,847.0,,2861.0,24.18,276.35,139.0,394.8,277.0,2300.0,55.36,810.0,275.0,1530.0,,4945.0,140.0,12507.9939
